title,attribution,medium,objectid,iiifthumburl
Boy with Cat,Ernst Ludwig Kirchner,lithograph on yellow wove paper,103631,"https://api.nga.gov/iiif/b309afc0-b270-4c29-9ce7-e8f39125f40d/full/!200,200/0/default.jpg"
A Hound Chasing a Hare,Benozzo Gozzoli,"pen and brown ink with traces of red chalk, heightened with white on pink prepared paper",75840,"https://api.nga.gov/iiif/6e53c5bd-799d-4ac8-a57d-2c831a57da14/full/!200,200/0/default.jpg"
"Lamp, Lower Portion","Anonymous Artist after Andrea Briosco, called Riccio",gilded bronze,130749,"https://api.nga.gov/iiif/8e5477ed-040f-4240-89ca-08d95b1c955b/full/!200,200/0/default.jpg"
Andiron with Putto Finial,Nicolò Roccatagliata,bronze,73441,"https://api.nga.gov/iiif/a6126402-696e-4333-96af-43362bef1afa/full/!200,200/0/default.jpg"
"Dispatch No. 4: THREE VALLEYS. The Valleys of Silicon, San Joaquin, and Death",Alec Soth,inkjet print and 48 page newsprint booklet in portfolio case,221224,"https://api.nga.gov/iiif/29e05dbf-f0e3-4088-9ffe-83d4ca8c1968/full/!200,200/0/default.jpg"
Hand Needlework,Frank J. Mace,"watercolor, graphite, and gouache on paperboard",12261,"https://api.nga.gov/iiif/e4317012-4b29-4d2b-a1bf-8cfc590cd691/full/!200,200/0/default.jpg"
Washington Eagle Flask,V.L. Vance,"watercolor, graphite, and colored pencil on paper",23196,"https://api.nga.gov/iiif/2459fc4e-d0a2-4a7f-919f-b2757f0b36e6/full/!200,200/0/default.jpg"
"Perdu, monsieur... perdu sur tous les points...",Honoré Daumier,lithograph,42796,"https://api.nga.gov/iiif/6634424e-df03-4dc0-9d83-37909991f74b/full/!200,200/0/default.jpg"
Nouvelles du bien-aimè,François Marie Isidore Queverdo,etching,3080,"https://api.nga.gov/iiif/750289b1-e057-4201-ad36-6116d95fbc96/full/!200,200/0/default.jpg"
Architectural Fantasy on a Round Temple Enclosed with an Ambulatory (verso),Pietro Gonzaga,graphite,165973,"https://api.nga.gov/iiif/f0f8f84c-aa7b-4186-af43-864b1583545b/full/!200,200/0/default.jpg"
Before the Ballet,Edgar Degas,oil on canvas,1158,"https://api.nga.gov/iiif/45f18edb-fa34-4907-8d14-3e14098d304c/full/!200,200/0/default.jpg"
She always read the endings of books before the beginnings,Marcia Resnick,gelatin silver print,165028,"https://api.nga.gov/iiif/d91caafb-5dcd-407a-b937-9615107c0674/full/!200,200/0/default.jpg"
"Seated Woman, Head Propped against Right Hand, Eyes Cast Downward",Mark Rothko,blue pen on wove paper,68691,"https://api.nga.gov/iiif/6d459f5b-1573-4260-81a5-625fec11a07a/full/!200,200/0/default.jpg"
Dreaming on Roses,Daniel Nikolaus Chodowiecki,etching on wove paper,59812,"https://api.nga.gov/iiif/144cb6e5-40e0-47ff-8723-58e0d537e067/full/!200,200/0/default.jpg"
Shenango Ingot Molds (Working People series),Milton Rogovin,gelatin silver print,157192,"https://api.nga.gov/iiif/eb41af4d-86ec-43dc-a13b-fb10562179a4/full/!200,200/0/default.jpg"
Equivalent,Alfred Stieglitz,gelatin silver print,36109,"https://api.nga.gov/iiif/cb7c242c-cd7c-401b-b2a5-000bc1cc40a0/full/!200,200/0/default.jpg"
Bust of an Old Man with a Beard,J. Tepper,lithograph,59133,"https://api.nga.gov/iiif/7770677c-eba8-4839-9678-1a04001ea80a/full/!200,200/0/default.jpg"
"Bent ""U""",Jasper Johns,color lithograph on Arches wove paper,56479,"https://api.nga.gov/iiif/ab71b972-0091-4b92-9ea7-701503c80a68/full/!200,200/0/default.jpg"
Deer Hunters,Velino Shije Herrera,gouache over graphite on paperboard,169450,"https://api.nga.gov/iiif/999e9893-a42a-447c-b99d-6537b39a7dd4/full/!200,200/0/default.jpg"
Panels from Hartford Chest,Harold Merriam,pen and ink on paper,19948,"https://api.nga.gov/iiif/6f24d30e-0d90-43eb-826e-8db472bf6cd2/full/!200,200/0/default.jpg"
Earth I,Cestmir Kafka,monoprint,130954,"https://api.nga.gov/iiif/d9c8d276-cc80-424e-8dca-0718d5156be6/full/!200,200/0/default.jpg"
The Arena,Gabor Peterdi,engraving,148384,"https://api.nga.gov/iiif/8ee4720c-0eab-4419-bba4-9eadae819da8/full/!200,200/0/default.jpg"
The Marriage of Adam and Eve,Jean Duvet,engraving,43194,"https://api.nga.gov/iiif/03a361dd-abda-46db-b573-af28aa855974/full/!200,200/0/default.jpg"
The Presentation in the Temple,Wolf Huber,woodcut,42626,"https://api.nga.gov/iiif/6e469fb9-4d19-445b-9722-955ffd5b2b81/full/!200,200/0/default.jpg"
"20 of 2,000 Stamps",Vera Khlebnikova,screenprint in red and black on Rives wove paper,171615,"https://api.nga.gov/iiif/67402e32-a4a6-43dd-bca7-ed4fc7f90e3e/full/!200,200/0/default.jpg"
Marina Schiano and Unidentified Man,Andy Warhol,gelatin silver print,175185,"https://api.nga.gov/iiif/ba6f4718-aebf-450a-944a-b754d873b283/full/!200,200/0/default.jpg"
Four Soldiers,Master MZ,engraving on laid paper,3392,"https://api.nga.gov/iiif/740893f4-94fa-4a2b-8192-6b1c55f3baed/full/!200,200/0/default.jpg"
"Standing Nude, Three-quarter View Facing Left",Mark Rothko,pen and black ink on wove paper,68676,"https://api.nga.gov/iiif/44d4cb8b-693b-4b4d-a327-d2690dd0856d/full/!200,200/0/default.jpg"
S. A. Law,Charles B. J. Févret de Saint-Mémin,mezzotint and engraving in black on wove paper mounted to brown wove paper,214554,"https://api.nga.gov/iiif/12710597-7d1d-4736-b20b-b560637af7e8/full/!200,200/0/default.jpg"
Villégiature,Honoré Daumier,lithograph,197055,"https://api.nga.gov/iiif/299f75b6-3aa4-4b27-91ed-576038499700/full/!200,200/0/default.jpg"
Untitled [1/6 trial proof black and white],Jasper Johns,"etching, aquatint, and drypoint in black on wove paper",151405,"https://api.nga.gov/iiif/0a670f13-3d38-4985-9564-e71a3d8bc6cf/full/!200,200/0/default.jpg"
Baggage Train,Stefano Della Bella,etching,65791,"https://api.nga.gov/iiif/fe6220cb-3614-4e31-8861-071d2490caeb/full/!200,200/0/default.jpg"
Pelicans in Flight,Martin Barooshian,color intaglio,57748,"https://api.nga.gov/iiif/c33407f7-246f-4791-a40c-621434adf107/full/!200,200/0/default.jpg"
Stehender weiblicher Akt mit Turban (Standing Nude with Turban) [p. 13],Max Beckmann,graphite and pen with blue ink on paper,65254,"https://api.nga.gov/iiif/4a94c5f1-a7e2-4d6f-b2d8-fd1af6a22f10/full/!200,200/0/default.jpg"
Man with an Umbrella,Marc Chagall,etching and aquatint in black on Richard de Bas laid paper,78869,"https://api.nga.gov/iiif/88a99523-a8d0-4bca-8243-8f10955644b1/full/!200,200/0/default.jpg"
"Clatsop Beach, Oregon",Robert Adams,gelatin silver print,158287,"https://api.nga.gov/iiif/82fc1d54-bac2-4f16-bab3-b196c4250496/full/!200,200/0/default.jpg"
